,title,date,desc,content,keywords
14,Coronavirus Testing Slumps in the U.S.,2021-03-01T10:29:50Z,"Medical experts cited various factors behind the 30 percent drop in the country’s screening in recent weeks. In California, landmark efforts are underway to combat Covid-19’s rampage through the agriculture sector.","LiveUpdated March 1, 2021, 5:10 a.m. ET
March 1, 2021, 5:10 a.m. ET
Medical experts cited various factors behind the 30 percent drop in the countrys screening in recent weeks. In California, landma… [+9725 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
15,Keeping the Australian Open Safe from Coronavirus,2021-02-21T17:45:21Z,An army of workers toiled to create a safe environment at the Australian Open.,"MELBOURNE, Australia A funny thing happened at the end of plenty of matches at the Australian Open this year: Players gathered their used water bottles and their sweat-soaked towels and put them in g… [+810 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
16,Coronavirus: Paraguay president asks ministers to resign,2021-03-06T23:07:30Z,Violent protests have broken out over the government's handling of the coronavirus pandemic.,"image captionAnti-government anger exploded into violence in Asuncion on Friday night
Paraguay's president has asked for all his ministers to stand down after violent protests over the government's … [+1873 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
17,Virginia Pulls Out of A.C.C. Tournament Because of Coronavirus,2021-03-12T19:37:14Z,"Virginia was the last team to win the N.C.A.A. tournament, in 2019, but its hopes to play for another title are now in doubt.","The University of Virginias mens basketball team, the 2019 national champion, pulled out of the Atlantic Coast Conference tournament on Friday after someone inside the program tested positive for the… [+1301 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
18,UConn Coach Geno Auriemma Tests Positive for the Coronavirus,2021-03-15T21:57:12Z,"The top-ranked Huskies will travel to San Antonio on Tuesday for the women’s national basketball tournament, the university said, and Auriemma is expected to rejoin the team on March 24.","The Connecticut womens basketball coach, Geno Auriemma, tested positive for the coronavirus on Sunday, the university announced Monday, just hours before the N.C.A.A. selected and placed teams in the… [+610 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
20,Is It Safe to Travel Yet?,2021-03-16T20:00:00Z,"Vaccines are becoming more available and coronavirus cases are dropping nationwide. If you stayed home all winter, you might be wondering if it’s finally okay to take a vacation somewhere. The short answer is: not really. The long answer? Let’s dive in. Read …","Vaccines are becoming more available and coronavirus cases are dropping nationwide. If you stayed home all winter, you might be wondering if its finally okay to take a vacation somewhere. The short a… [+4366 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
21,Coronavirus Vaccine Finder Aims to Help Americans Get Shots,2021-02-25T01:53:17Z,VaccineFinder.org is an ambitious but limited attempt to simplify Americans’ search for vaccines.,"Despite the progress, though, getting appointments for vaccinations has been a source of great frustration for many people. Appointment slots are filled within minutes of becoming available. States, … [+1884 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
22,The Daily: When Will Kids Get the Coronavirus Vaccine?,2021-02-19T11:00:08Z,"When the United States completes its campaign to immunize every eligible American against the coronavirus, about a quarter of the population will remain unvaccinated. So, what happens to children?","Apoorva Mandavilli contributed reporting.
The Daily is made by Theo Balcomb, Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad … [+706 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
23,Thousands of Farmworkers Are Prioritized for the Coronavirus Vaccine,2021-03-01T08:00:09Z,"A landmark initiative in California is taking vaccines to the fields, targeting an immigrant work force that is at high risk for Covid-19. Many of the workers are undocumented, raising questions about whether they should have priority.","Rosa Torres, who packs dates, said she never imagined it could be so simple. God answered my prayers, said Ms. Torres, 49, an immigrant from Mexico, who was resplendent in matching lime-green shirt, … [+1245 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
24,Social Good Summit: Coronavirus and the digital divide,2021-03-11T20:40:28Z,"Moderator Dr. Chris Emdin leads the panel with Dana Floberg, Lakisha Young, Becky Pringle, Dr. Maria Coady on Covid, remote learning, and the digital divide in schools. Read more...More about Mashable Video, School, Social Good Summit, Covid 19, and Digital D…","Moderator Dr. Chris Emdin leads the panelwithDana Floberg, Lakisha Young, Becky Pringle, Dr. Maria Coady on Covid, remote learning, and the digital divide in schools.","['#chars', '#said', '#a.m.', '#ET', '#going']"
25,Duke Out of A.C.C. Tournament Because of Coronavirus,2021-03-11T16:40:51Z,The trouble for the Blue Devils will likely spark new skepticism of the N.C.A.A.’s plan to hold a national tournament next week in Indiana.,"Although Duke (13-11) has struggled this season, the announcement made final that the university will miss the N.C.A.A. Division I men's basketball tournament for the first time since 1995. (The 2020… [+1124 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
26,South Africa Variant Emerges in New York,2021-02-22T10:22:23Z,"Coronavirus cases are declining in the state, but uncertainties remain about new dangers and the pace of vaccination.","Overall, the pandemic appears to be easing in New York. After statewide hospitalizations climbed to more than 9,200 in mid-January, the number dropped to 5,764 on Sunday, Mr. Cuomo said.
The 2.99 pe… [+1066 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
27,D.C.’s Mayor Mourned Covid’s Unequal Toll. Her Sister Is the Latest Victim.,2021-02-26T00:47:27Z,"As the number of coronavirus deaths in the city reached 1,000 this week, three-fourths of the dead were Black.","Ms. Bowser never had children of her own, but Mr. Thomas considered her his godmother. She was one of the first people he called when he learned he would be a chef at the U.S. Capitol, and when he se… [+1916 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
29,Gareth Southgate says footballers should be offered coronavirus vaccine soon,2021-03-18T23:56:20Z,England manager Gareth Southgate says footballers should be offered a coronavirus vaccine soon because of the risks of playing during the pandemic.,"England play San Marino, Albania and Poland in World Cup qualifiers later this month
England manager Gareth Southgate says footballers should be offered the coronavirus vaccine soon because of the r… [+1791 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
30,Pregnancy in lockdown: The babies born into a pandemic,2021-03-14T00:05:22Z,Five mothers share what it was like to be pregnant and give birth during the coronavirus pandemic.,"Bristol-based portrait photographer Nina Raingold met five mothers who have experienced the challenges of giving birth during Covid restrictions in the UK.
image copyrightNina Raingold
Last year, C… [+9146 chars]","['#chars', '#said', '#a.m.', '#ET', '#going']"
31,Covid-19: Dolly Parton marks vaccination with Jolene rewrite,2021-03-03T04:49:01Z,"Singing to the tune of her hit song Jolene, the county star, 75, promotes coronavirus vaccinations.","image captionDolly Parton was vaccinated with a jab developed by Moderna
Country star Dolly Parton has been given a Covid-19 vaccine dose, after urging others to follow her example by reimaging one … [+2390 chars]","['#chars', '#said', '#vaccine', '#image', '#a.m.']"
32,Coronavirus: Biden's $1.9tn Covid relief bill passes House vote,2021-02-27T07:31:35Z,"The coronavirus aid plan passes despite total Republican opposition, but must now go to the Senate.","image copyrightGetty Images
image captionDemonstrators are calling for a rise in the US minimum wage - but it will be difficult to get through Congress
President Joe Biden's $1.9tn (£1.4tn) relief … [+1991 chars]","['#chars', '#said', '#image', '#vaccine', '#a.m.']"
33,Covid: Texas and Mississippi lifting restrictions too soon?,2021-03-11T00:44:08Z,"Two US states are lifting compulsory coronavirus restrictions, but are they in a position to do so?","By Jake HortonBBC Reality Check
image captionTexas is some way off reaching wider immunity through vaccinations
The governors of the US states of Texas and Mississippi have lifted all compulsory Co… [+5192 chars]","['#chars', '#said', '#image', '#vaccine', '#a.m.']"
34,A green glow for St Patrick's Day around the world,2021-03-17T06:37:21Z,Online events are taking the place of traditional parades due to the coronavirus pandemic.,"image copyrightTourism Ireland Global Greening 
image captionA record 690 landmarks are taking part in Tourism Ireland's Global Greening initiative
Countries around the world will celebrate St Patr… [+3933 chars]","['#chars', '#image', '#said', '#vaccine', '#a.m.']"
36,"Stimulus, Coronavirus Variants, Pope Francis: Your Weekend Briefing",2021-03-07T11:18:33Z,Here’s what you need to know about the week’s top stories.,"5. Jury selection is set to begin on Monday in the trial of Derek Chauvin, the former police officer charged in the death of George Floyd.
Prosecutors and Mr. Chauvins lawyer are scheduled to narrow… [+666 chars]","['#chars', '#image', '#said', '#Mr.', '#vaccine']"
37,N.B.A. Investigating After Jeremy Lin Said He Was Called ‘Coronavirus’,2021-02-27T05:05:08Z,"Lin, who is Taiwanese-American, said on social media that he had been called “coronavirus” on the court. He has been playing in the N.B.A.’s developmental league.","The investigation came amid a rise in attacks against Asian-Americans, according to government tallies. The number of hate crimes with Asian-American victims reported to the New York Police Departmen… [+1439 chars]","['#chars', '#image', '#said', '#Mr.', '#government']"
38,"105-Year Old Woman Survived Spanish Flu, and Now, Coronavirus",2021-02-23T10:00:15Z,"Lucia DeClerck, the oldest resident of a New Jersey nursing home, tested positive for the virus on her 105th birthday, one day after her second vaccine shot.","She raised three sons and ran a corner store for decades with her first husband, Henry Laws Jr., in Los Angeles. She married twice more after returning to Hawaii, where she worked as a home health ai… [+1085 chars]","['#chars', '#image', '#said', '#Mr.', '#government']"
39,"Coronavirus Variant Found in Brazil Can Cause Reinfection, Study Shows",2021-03-02T10:59:24Z,Some who had immunity from previous bouts of the coronavirus contracted it again as the P.1 variant spread in the Amazonian city of Manaus. And one Arizona county has opened vaccines to all residents.,"LiveUpdated March 2, 2021, 5:39 a.m. ET
March 2, 2021, 5:39 a.m. ET
Some who had immunity from previous bouts of the coronavirus contracted it again as the P.1 variant spread in the Amazonian city … [+15095 chars]","['#chars', '#image', '#said', '#a.m.', '#ET']"
40,"Positive Coronavirus Tests Decline in N.Y., but Variants Loom",2021-02-26T10:40:56Z,"The number of people testing positive is dropping slowly, but new variants and a relatively slow vaccination rate  threaten progress.","Only use this if you absolutely must, she said as I slipped the coin into my pocket, where it would sit next to the one she had given me the day before.
I spent Fridays after school in a small barbe… [+939 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
41,"Pope Francis' Iraq Trip Ends, but Coronavirus Fears Remain",2021-03-07T20:41:02Z,"Crowds gathered over Francis’ three-day visit, sporting high spirits but few masks. Few in the country have been vaccinated.","The virus is far more easily transmitted indoors than outdoors, but most Iraqis wrongly believe that there is no outdoor transmission at all. In some cities where the pope appeared, thousands of peop… [+1016 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
44,Coronavirus: The misleading claims about an Indian remedy,2021-03-01T00:44:01Z,"A traditional herbal remedy said to ""cure"" Covid has resurfaced, but there's no evidence it works.","By Shruti MenonBBC Reality Check
image captionCoronil has appeared for sale outside India, including in the UK
A controversial herbal concoction has been in the news again in India, with renewed cl… [+5363 chars]","['#chars', '#image', '#said', '#a.m.', '#ET']"
45,Texas Hospitals Hard Hit by Covid Struggle Without Power and Water,2021-02-19T00:22:15Z,"The state’s power failure has plunged some hospitals into crisis, even as they are still reeling from the coronavirus pandemic.","AUSTIN, Texas Some hospitals, short on heat or water, urgently raced to transfer their most critically ill patients elsewhere. Other hospitals were overflowing with patients injured in the winter sto… [+1060 chars]","['#chars', '#image', '#said', '#a.m.', '#ET']"
46,When Did the Pandemic Become Real for You?,2021-03-02T23:11:43Z,"The World Health Organization declared the spread of the coronavirus a pandemic on March 11, 2020. But when was the instant you knew your life would change?","A year ago, the United States counted its first known coronavirus-related death. Since then, more than 500,000 Americans have died. No other country has lost as many lives.
Daily life has been upend… [+858 chars]","['#chars', '#image', '#said', '#a.m.', '#ET']"
47,Champions League Schedule Blurs Home and Away,2021-02-23T07:00:06Z,Coronavirus restrictions have sent multiple games to neutral sites. Will this summer’s European Championship be the next big event to reschedule?,"UEFA, the European soccer governing body that runs the competitions, has decided that if restrictions adversely affect any game, it will be played at a neutral site where travel is permitted. But the… [+873 chars]","['#chars', '#image', '#said', '#a.m.', '#ET']"
48,"Luis Fernando Arias, Colombian Indigenous Leader, Dies at 41",2021-02-24T21:21:12Z,"Motivated by violence inflicted on his family by paramilitaries, he became the leading voice in a coalition of Indigenous peoples. Complications of the coronavirus contributed to his death.","He left us with beautiful memories, so we dont have to live on crying, Eulalia Yagarí, a co-founder of the Indigenous organization and a member of the Embera people, said in a statement. Theyre memor… [+578 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
49,Federal Scientists Plead for Pandemic Controls as Infection Declines Stall,2021-02-27T00:37:48Z,"“Now is not the time to relax restrictions,” the C.D.C. director, Rochelle Walensky, said, pointing to a leveling of coronavirus infections as governors move to lift pandemic restrictions.","While coronavirus deaths tend to fluctuate more than cases and hospital admissions, Dr. Walensky said the most recent seven-day average was slightly higher than the average earlier in the week. The s… [+1769 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
50,A Wave of Reopenings Takes Hold as Americans Ask Whether the Worst Is Over,2021-03-02T21:02:52Z,"As coronavirus cases drop, states are reopening businesses and schools, prompting people to emerge after months of isolation despite uncertainty about the pandemic’s future.","Last years shutdown forced Zack Medford, 38, to abruptly close the five bars he owned in North Carolina, lay off 80 employees, and apply for unemployment benefits. He has had to give up two of his ba… [+1275 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
51,"With Texas’ Mask Mandate Over, Workers Worry About Encroaching Virus",2021-03-10T23:51:42Z,"Gov. Greg Abbott cited personal freedom and economic pain while relaxing coronavirus restrictions. But many are upset, especially those who take precautions and work with the public.","It is a very unfair thing to put the business in this position because they have to make the policy themselves, said Nelson Wolff, the Bexar County judge and a Democrat. It is a terrible burden; they… [+1218 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
52,Major Marathons May Return This Fall,2021-03-10T17:36:15Z,The coronavirus pandemic has wiped out most major road races through this spring. Marathon organizers are hoping their events can return this fall with new protocols and precautions.,"In New York, which typically plans for a field of 55,000 runners who start on Staten Island and run in all five boroughs of the city, officials recently discussed the possibility of a field of roughl… [+1634 chars]","['#chars', '#said', '#image', '#a.m.', '#ET']"
53,Covid: Anti-vaccination protests held in Australia ahead of rollout,2021-02-20T12:04:50Z,The action comes days before the country is set to begin its rollout of coronavirus vaccines.,"image captionThere were arrests and clashes in Melbourne
Anti-vaccination protesters have gathered across Australia ahead of the launch of the country's coronavirus inoculation programme.
Protests … [+1855 chars]","['#chars', '#said', '#image', '#coronavirus', '#a.m.']"
55,We Fact-Checked Biden’s Prime-Time White House Address,2021-03-12T05:15:21Z,"President Biden, in a prime-time address on Thursday night, exaggerated elements of the coronavirus pandemic along with his, and his predecessor’s, response to it.","This is exaggerated. According to estimates from the Department of Veterans Affairs, a total of 392,393 died in combat in those three wars. Combined with the 2,977 people who died in the Sept. 11, 20… [+1664 chars]","['#chars', '#said', '#image', '#coronavirus', '#a.m.']"
57,The US is about to get a third coronavirus vaccine. Here's how it's different from the others,2021-02-27T23:18:40Z,The United States is poised to get a third coronavirus vaccine -- this one made by Johnson & Johnson.,"(CNN)The United States is poised to get a third coronavirus vaccine -- this one made by Johnson &amp; Johnson.
The US Food and Drug Administration has given the vaccine emergency use authorization, … [+7531 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
62,Coronavirus: What Europeans have learned from a year of pandemic,2021-02-20T00:03:31Z,Since the first case in northern Italy a year ago the lives of Europeans have been changed forever.,"By Paul KirbyBBC News
image captionLaura Ricevuti diagnosed Italy's first Covid patient a year ago at the hospital in Codogno, along with colleague Rosa Camuna
From the first case diagnosed a year … [+14825 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
63,Coronavirus: Europe in vaccine race to save summer,2021-03-06T00:06:43Z,"Waiting for a jab and vaccine passport, EU citizens are impatient to get their lives back.","By Kevin ConnollyBBC News, Brussels
image captionTesting of tourists is likely to remain widespread in Europe this summer
Europe could be on the brink of a roaring twenties-style summer to remember… [+5565 chars]","['#chars', '#image', '#said', '#coronavirus', '#vaccine']"
64,Dr. Gupta: One year of living in the shadow of a pandemic,2021-03-11T12:23:08Z,"Today, March 11, marks one year since the World Health Organization declared Covid-19, the disease caused by the novel coronavirus, a pandemic.","(CNN)Today, March 11, marks one year since the World Health Organization declared Covid-19, the disease caused by the novel coronavirus, a pandemic. 
In the first months of 2020, as the unprecedente… [+7818 chars]","['#chars', '#image', '#said', '#coronavirus', '#year']"
68,"For a Preview of What the N.C.A.A. Hopes to Pull Off, Look to Las Vegas",2021-03-09T19:07:00Z,Teams from the five conferences holding their men’s and women’s basketball championships in the city hope to get through to the national tournaments without being derailed by the coronavirus.,"Since then, the five conferences have met almost every Friday for 60 to 90 minutes to plan for what feels like a new event. Were all rewriting our handbooks, said John Sullivan, the assistant commiss… [+2194 chars]","['#chars', '#said', '#image', '#coronavirus', '#year']"
69,"One Year Later, Rudy Gobert Is at Peace. And Thriving.",2021-03-10T21:06:59Z,"The Utah Jazz center’s positive test for the coronavirus began a cascading shutdown of American sports. But with a huge new contract and a dominant team, he has moved on.","They bonded a few years back when Eaton introduced Gobert to a fellow Frenchman, David Folch, who designs bicycles with 36-inch wheels for tall riders. Gobert purchased his own bike and soon visited … [+1345 chars]","['#chars', '#said', '#image', '#coronavirus', '#year']"
70,"Christine Nofchissey McHorse, Navajo Ceramist, Dies at 72",2021-03-17T23:51:44Z,"Ms. McHorse used micaceous clay, a tensile material flecked with mica, to make sensual, mysterious work that called to mind the shapes of Brancusi. She died of the coronavirus.","Ms. McHorse earned multiple awards for her work, which is in the public collections of the Smithsonian American Art Museum, among other institutions.
She worked slowly and precisely, building a piec… [+1307 chars]","['#chars', '#said', '#image', '#coronavirus', '#year']"
71,France coronavirus: Paris cuts non-Covid treatment amid intensive care surge,2021-03-09T11:40:40Z,"Non-coronavirus care is reduced by 40% but a new lockdown is a ""last resort"", officials say.","image captionThe ICU unit at the Melun-Senart hospital near Paris. The situation in the region is ""very tense""
Hospitals in and around Paris have been told to reduce non-Covid treatments by 40%, as … [+3531 chars]","['#chars', '#image', '#said', '#coronavirus', '#year']"
72,Bagel Orders and Vaccine Appointments: 5 Takeaways From the Mayor’s Race,2021-02-22T10:00:18Z,"A former City Council speaker decides not to run, and a current city comptroller becomes the first leading candidate to get the coronavirus vaccine.","Many New Yorkers have struggled to get a vaccine appointment. Mr. Stringer used the states website and did a lot of refreshing with a friend early one morning.
Several candidates said they had not r… [+1557 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
73,Alaska’s Remote Villages Race Against Time and History,2021-03-07T22:10:23Z,"The coronavirus has spread into the most remote villages, a reminder of earlier pandemics that ravaged the state. Now there is a rush to deliver vaccines in time.","But even the most remote corners of the state are far less isolated than they were during the 1918 pandemic. Fishing season drew thousands of workers from outside the state, and tourists poured into … [+1186 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
74,"Publisher Halts Promotion of Cuomo Book, Citing Nursing Homes Inquiry",2021-03-09T01:55:59Z,"“American Crisis” was supposed to be a triumphant account of New York’s coronavirus fight. But as scandals swirl, sales have dramatically slowed.","Even before several women came forward to accuse Mr. Cuomo of workplace sexual harassment and other inappropriate behavior, sales were moribund. Between Jan. 23 and Feb. 27, the title sold only about… [+1404 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
75,Covid-Battered Texas Faces Costly Recovery After Winter Storm,2021-02-22T23:07:34Z,"Basics remain scarce in some parts of Texas, and many already battered by a year of the coronavirus now face a costly recovery.","It was just crisis after crisis, said Chris Mendoza, an Army veteran who was still recovering from Covid-19 when a bathroom pipe burst and flooded his family out of their home.
They could not afford… [+1265 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
76,Pandemic Insurance Helped the N.C.A.A. Tournament and Others,2021-02-26T22:05:06Z,"Event cancellation insurance is a specialized realm. But during the coronavirus pandemic, it has shored up the balance sheets of sporting events around the world.","The N.C.A.A. has been buying coverage for its mens basketball tournament since the late 1990s, when its annual budget was less than $450 million in todays dollars. (In its last pre-pandemic fiscal ye… [+2084 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
77,"At America’s Cup, Auckland Laments the Boats That Didn’t Come",2021-03-04T15:30:07Z,"With strict coronavirus rules keeping out superyachts and their wealthy owners, New Zealand’s marine industry is missing both their glamour and their money.","One superyacht agent, Mark Wightman, said he had five clients with 200-foot plus vessels coming for the races. Two or three would have made the trip from nearby Tahiti if they had been allowed, he sa… [+1931 chars]","['#chars', '#said', '#image', '#coronavirus', '#vaccine']"
78,Texas and Other States Reopen as Covid Cases Fall,2021-03-02T21:48:28Z,"As coronavirus cases fall, states are rescinding mask mandates and reopening businesses and schools, prompting people to emerge after months of isolation despite uncertainty about the pandemic’s future.","It was an exhilarating feeling to see that happen, said Mr. Medford, who is also the president of the states bar and tavern association. It really was the first time in a year that I got out of bed a… [+1699 chars]","['#chars', '#said', '#image', '#coronavirus', '#year']"
79,"Kay Ivey, Alabama's Republican Governor, Resists Calls to Lift Mask Order",2021-03-06T00:20:17Z,"By most measures, Gov. Kay Ivey is a predictable Southern Republican, but she has charted her own course on efforts to control the coronavirus.","David Mowery, an Alabama-based political consultant who did some work for Ms. Ivey when she was lieutenant governor, said she had been consistently underestimated because of her gender and her low-ke… [+1560 chars]","['#chars', '#said', '#image', '#coronavirus', '#year']"
